"Class","bigram","n"
1,"dna bind",3136
1,"mutant p53",3002
1,"supplementari fig",2472
1,"supplementari tabl",1902
1,"tabl 2",1891
1,"brct domain",1822
1,"bind site",1586
1,"gene express",1570
1,"ovarian cancer",1557
1,"type p53",1536
1,"author manuscript",1488
1,"brca1 brct",1440
1,"dna damag",1372
1,"fig 2",1360
1,"missens variant",1296
1,"target gene",1149
1,"famili histori",1139
1,"splice site",1136
1,"tgf β",1110
1,"nih pa",1083
2,"kinas domain",2945
2,"tyrosin kinas",2463
2,"lung cancer",2081
2,"cyclin d1",1825
2,"supplementari fig",1681
2,"bcr abl",1599
2,"exon 11",1595
2,"growth factor",1568
2,"ba f3",1530
2,"kit exon",1426
2,"tabl 2",1366
2,"egfr tki",1327
2,"kinas inhibitor",1327
2,"supplementari tabl",1279
2,"exon 20",1246
2,"gene express",1170
2,"signal pathwai",1143
2,"notch signal",1129
2,"gene fusion",1081
2,"exon 9",1057
3,"brca1 variant",588
3,"vu neutral",416
3,"il 3",391
3,"homolog recombin",362
3,"brca1 protein",348
3,"kinas domain",344
3,"ba f3",335
3,"al 2008",321
3,"embryon stem",309
3,"al 2010",306
3,"hdr assai",297
3,"function assai",291
3,"ovarian cancer",291
3,"0 0",290
3,"prostat cancer",266
3,"sequenc variant",262
3,"alk mutant",248
3,"tyrosin kinas",241
3,"missens substitut",237
3,"al 2006",234
4,"dna bind",2561
4,"fig 2",2272
4,"brct domain",1998
4,"asd dd",1980
4,"supplementari fig",1839
4,"tabl 2",1664
4,"supplementari tabl",1656
4,"missens variant",1560
4,"ubiquitin ligas",1557
4,"function assai",1545
4,"ovarian cancer",1419
4,"fig 4",1377
4,"pten protein",1377
4,"p53 mutant",1362
4,"al 1998",1358
4,"fig 3",1357
4,"catalyt loop",1354
4,"tgf β",1350
4,"bind site",1344
4,"al 1997",1332
5,"vu neutral",1976
5,"brct domain",1761
5,"author manuscript",1682
5,"brca1 variant",1453
5,"embryon stem",1420
5,"function assai",1410
5,"brca1 brct",1302
5,"missens variant",1256
5,"nih pa",1134
5,"pa author",1134
5,"supplementari tabl",1090
5,"human brca1",986
5,"famili histori",978
5,"ovarian cancer",898
5,"supplementari fig",877
5,"sequenc variant",814
5,"classifi cation",760
5,"manuscript nih",756
5,"cancer risk",738
5,"tabl 2",707
6,"famili histori",2453
6,"ovarian cancer",1045
6,"supplementari fig",1040
6,"bind site",1008
6,"ubiquitin ligas",1002
6,"missens variant",881
6,"tabl 2",841
6,"e2 interact",840
6,"kinas domain",839
6,"sequenc variant",802
6,"brct domain",768
6,"tumor suppress",763
6,"brca1 bard1",761
6,"hydrogen bond",679
6,"missens substitut",678
6,"ring domain",637
6,"ic50 valu",629
6,"brca1 variant",602
6,"dna bind",582
6,"logist regress",574
7,"tyrosin kinas",7950
7,"kinas domain",7801
7,"lung cancer",6606
7,"ba f3",5394
7,"growth factor",5280
7,"cyclin d1",5042
7,"exon 20",4236
7,"β catenin",3654
7,"kinas inhibitor",3653
7,"flt3 itd",3412
7,"signal pathwai",3252
7,"egfr tki",3246
7,"kit exon",3015
7,"exon 11",2990
7,"supplementari fig",2943
7,"tabl 2",2885
7,"il 3",2814
7,"fig 2",2508
7,"exon 19",2457
7,"clinic trial",2435
8,"dna methyl",208
8,"gene express",201
8,"histon h3",184
8,"supplementari tabl",147
8,"supplementari fig",139
8,"al 2009",133
8,"al 2010",132
8,"al 2012",116
8,"dnmt3b7 express",103
8,"h3 k42a",99
8,"nih 3t3",84
8,"α ketoglutar",82
8,"bcor rara",78
8,"tumor type",77
8,"mutant idh",75
8,"h3 k42",69
8,"mutant idh1",69
8,"aberr splice",68
8,"rt pcr",68
8,"al 2011",67
9,"sf3b1 mutant",480
9,"splice site",449
9,"supplementari tabl",344
9,"bone marrow",334
9,"gene express",331
9,"mutant idh1",326
9,"mutant idh",321
9,"aberr splice",302
9,"supplementari fig",292
9,"3 ss",291
9,"al 2012",274
9,"al 2011",266
9,"al 2009",263
9,"rna seq",258
9,"altern splice",254
9,"md patient",254
9,"3 splice",248
9,"β trcp",228
9,"ring sideroblast",227
9,"al 2013",225
